title,price,discprice,images
Hunt: Showdown - Collector's Edition," 2,314.78", 874.82,"[<img src=""https://cdn.akamai.steamstatic.com/steam/bundles/12841/o4dp0m95vgett763/capsule_sm_120.jpg?t=1611681298"" srcset=""https://cdn.akamai.steamstatic.com/steam/bundles/12841/o4dp0m95vgett763/capsule_sm_120.jpg?t=1611681298 1x, https://cdn.akamai.steamstatic.com/steam/bundles/12841/o4dp0m95vgett763/capsule_231x87.jpg?t=1611681298 2x""/>]"
ARK: Ultimate Survivor Edition, 595.27, 595.27,"[<img src=""https://cdn.akamai.steamstatic.com/steam/bundles/21105/gaqd2re50dfgmanx/capsule_sm_120.jpg?t=1622741079"" srcset=""https://cdn.akamai.steamstatic.com/steam/bundles/21105/gaqd2re50dfgmanx/capsule_sm_120.jpg?t=1622741079 1x, https://cdn.akamai.steamstatic.com/steam/bundles/21105/gaqd2re50dfgmanx/capsule_231x87.jpg?t=1622741079 2x""/>]"
Foxhole, 179.99, 179.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/505460/capsule_sm_120_alt_assets_4.jpg?t=1622741408"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/505460/capsule_sm_120_alt_assets_4.jpg?t=1622741408 1x, https://cdn.akamai.steamstatic.com/steam/apps/505460/capsule_231x87_alt_assets_4.jpg?t=1622741408 2x""/>]"
SCUM, 321.99, 193.19,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/513710/capsule_sm_120.jpg?t=1622051552"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/513710/capsule_sm_120.jpg?t=1622051552 1x, https://cdn.akamai.steamstatic.com/steam/apps/513710/capsule_231x87.jpg?t=1622051552 2x""/>]"
GUILTY GEAR -STRIVE-," 1,199.99"," 1,199.99","[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_sm_120.jpg?t=1625015685"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_sm_120.jpg?t=1625015685 1x, https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_231x87.jpg?t=1625015685 2x""/>]"
ARK: Survival Evolved, 279.99, 279.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/346110/capsule_sm_120.jpg?t=1623347713"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/346110/capsule_sm_120.jpg?t=1623347713 1x, https://cdn.akamai.steamstatic.com/steam/apps/346110/capsule_231x87.jpg?t=1623347713 2x""/>]"
Control Ultimate Edition, 799.00, 319.60,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/870780/capsule_sm_120.jpg?t=1626443421"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/870780/capsule_sm_120.jpg?t=1626443421 1x, https://cdn.akamai.steamstatic.com/steam/apps/870780/capsule_231x87.jpg?t=1626443421 2x""/>]"
Halo: The Master Chief Collection, 749.00, 749.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/subs/376282/capsule_sm_120.jpg?t=1583268808"" srcset=""https://cdn.akamai.steamstatic.com/steam/subs/376282/capsule_sm_120.jpg?t=1583268808 1x, https://cdn.akamai.steamstatic.com/steam/subs/376282/capsule_231x87.jpg?t=1583268808 2x""/>]"
Garry's Mod, 109.99, 109.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/4000/capsule_sm_120.jpg?t=1617307042"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/4000/capsule_sm_120.jpg?t=1617307042 1x, https://cdn.akamai.steamstatic.com/steam/apps/4000/capsule_231x87.jpg?t=1617307042 2x""/>]"
NINJA GAIDEN: Master Collection Deluxe Edition, 527.79, 527.79,"[<img src=""https://cdn.akamai.steamstatic.com/steam/subs/575618/capsule_sm_120.jpg?t=1623364920"" srcset=""https://cdn.akamai.steamstatic.com/steam/subs/575618/capsule_sm_120.jpg?t=1623364920 1x, https://cdn.akamai.steamstatic.com/steam/subs/575618/capsule_231x87.jpg?t=1623364920 2x""/>]"
Star Conflict - Galactic tour. Stage two, 219.00, 219.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1636292/capsule_sm_120.jpg?t=1626757341"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1636292/capsule_sm_120.jpg?t=1626757341 1x, https://cdn.akamai.steamstatic.com/steam/apps/1636292/capsule_231x87.jpg?t=1626757341 2x""/>]"
